"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IWD"
"Zopandrel, Hunger Dominus","G","M","3042","1.43","2032","1.40","9972","54.5%","1514","56.4%","2272","59.8%","3786","58.4%","6165","52.1%","6.3pp"
"Tyrranax Rex","G","M","3054","1.42","2000","1.41","9950","54.5%","1524","57.2%","2251","61.1%","3775","59.5%","6153","51.5%","8.1pp"
"Skrelv's Hive","W","R","6018","1.44","3927","1.42","20847","55.5%","3892","62.6%","4488","53.0%","8380","57.4%","12441","54.2%","3.3pp"
"Black Sun's Twilight","B","R","6397","1.49","3963","1.45","19689","52.7%","3169","53.2%","4675","56.9%","7844","55.4%","11848","50.8%","4.6pp"
"Solphim, Mayhem Dominus","R","M","3346","1.55","2168","1.51","11407","56.1%","1971","57.6%","2381","59.1%","4352","58.4%","7040","54.7%","3.7pp"
"Phyrexian Vindicator","W","M","3206","1.59","1732","1.52","7332","55.0%","1209","60.9%","1678","57.3%","2887","58.8%","4438","52.6%","6.1pp"
"Glissa Sunslayer","BG","R","6562","1.59","4138","1.52","19776","53.5%","3462","59.9%","4393","57.9%","7855","58.8%","11844","49.9%","8.9pp"
"Skrelv, Defector Mite","W","R","6810","1.55","3999","1.52","20725","55.4%","3840","61.6%","4303","54.0%","8143","57.6%","12560","54.1%","3.5pp"
"Tekuthal, Inquiry Dominus","U","M","3354","1.63","1872","1.53","8606","52.3%","1442","55.1%","2170","54.4%","3612","54.7%","4905","50.3%","4.4pp"
"Evolved Spinoderm","G","R","6881","1.57","4572","1.54","24443","56.5%","4242","61.6%","5446","58.9%","9688","60.1%","14715","54.1%","6.0pp"
"Kaito, Dancing Shadow","UB","R","7007","1.62","4029","1.55","17877","53.4%","3022","56.3%","4484","60.5%","7506","58.8%","10185","49.1%","9.7pp"
"Drivnod, Carnage Dominus","B","M","3501","1.60","1571","1.57","6307","50.5%","986","46.5%","1516","51.2%","2502","49.3%","3778","51.3%","-2.0pp"
